"efforts_tuples","selected0","selected1","count","count_normalized"
"[-1,-1,0,-1]_[-1,1,0,1]",0,1,9,0.310344827586207
"[-1,-1,0,-1]_[-1,1,0,1]",0,2,3,0.103448275862069
"[-1,-1,0,-1]_[-1,1,0,1]",1,2,17,0.586206896551724
"[-1,-1,0,-1]_[-1,1,1,0]",0,1,10,0.476190476190476
"[-1,-1,0,-1]_[-1,1,1,0]",0,2,7,0.333333333333333
"[-1,-1,0,-1]_[-1,1,1,0]",1,2,4,0.19047619047619
"[-1,-1,0,-1]_[0,-1,-1,-1]",0,1,18,0.45
"[-1,-1,0,-1]_[0,-1,-1,-1]",0,2,14,0.35
"[-1,-1,0,-1]_[0,-1,-1,-1]",1,2,8,0.2
"[-1,-1,0,-1]_[0,-1,-1,1]",0,1,5,1
"[-1,-1,0,-1]_[0,-1,-1,1]",0,2,0,0
"[-1,-1,0,-1]_[0,-1,-1,1]",1,2,0,0
"[-1,-1,0,-1]_[0,-1,0,-1]",0,1,6,0.666666666666667
"[-1,-1,0,-1]_[0,-1,0,-1]",0,2,2,0.222222222222222
"[-1,-1,0,-1]_[0,-1,0,-1]",1,2,1,0.111111111111111
"[-1,-1,0,-1]_[0,-1,0,1]",0,1,4,0.307692307692308
"[-1,-1,0,-1]_[0,-1,0,1]",0,2,0,0
"[-1,-1,0,-1]_[0,-1,0,1]",1,2,9,0.692307692307692
"[-1,-1,0,-1]_[0,-1,1,-1]",0,1,6,0.6
"[-1,-1,0,-1]_[0,-1,1,-1]",0,2,3,0.3
"[-1,-1,0,-1]_[0,-1,1,-1]",1,2,1,0.1
"[-1,-1,0,-1]_[0,-1,1,1]",0,1,0,0
"[-1,-1,0,-1]_[0,-1,1,1]",0,2,0,0
"[-1,-1,0,-1]_[0,-1,1,1]",1,2,1,1
"[-1,-1,0,-1]_[0,0,1,1]",0,1,1,0.333333333333333
"[-1,-1,0,-1]_[0,0,1,1]",0,2,0,0
"[-1,-1,0,-1]_[0,0,1,1]",1,2,2,0.666666666666667
"[-1,-1,0,-1]_[0,1,-1,-1]",0,1,8,0.32
"[-1,-1,0,-1]_[0,1,-1,-1]",0,2,11,0.44
"[-1,-1,0,-1]_[0,1,-1,-1]",1,2,6,0.24
"[-1,-1,0,-1]_[0,1,-1,1]",0,1,8,0.5
"[-1,-1,0,-1]_[0,1,-1,1]",0,2,2,0.125
"[-1,-1,0,-1]_[0,1,-1,1]",1,2,6,0.375
"[-1,-1,0,-1]_[0,1,0,-1]",0,1,12,0.6
"[-1,-1,0,-1]_[0,1,0,-1]",0,2,3,0.15
"[-1,-1,0,-1]_[0,1,0,-1]",1,2,5,0.25
"[-1,-1,0,-1]_[0,1,1,-1]",0,1,4,0.444444444444444
"[-1,-1,0,-1]_[0,1,1,-1]",0,2,2,0.222222222222222
"[-1,-1,0,-1]_[0,1,1,-1]",1,2,3,0.333333333333333
"[-1,-1,0,-1]_[0,1,1,1]",0,1,8,0.571428571428571
"[-1,-1,0,-1]_[0,1,1,1]",0,2,3,0.214285714285714
"[-1,-1,0,-1]_[0,1,1,1]",1,2,3,0.214285714285714
"[-1,-1,0,-1]_[1,-1,-1,0]",0,1,21,0.488372093023256
"[-1,-1,0,-1]_[1,-1,-1,0]",0,2,4,0.0930232558139535
"[-1,-1,0,-1]_[1,-1,-1,0]",1,2,18,0.418604651162791
"[-1,-1,0,-1]_[1,-1,0,-1]",0,1,2,1
"[-1,-1,0,-1]_[1,-1,0,-1]",0,2,0,0
"[-1,-1,0,-1]_[1,-1,0,-1]",1,2,0,0
"[-1,-1,0,-1]_[1,-1,0,0]",0,1,2,0.25
"[-1,-1,0,-1]_[1,-1,0,0]",0,2,1,0.125
"[-1,-1,0,-1]_[1,-1,0,0]",1,2,5,0.625
"[-1,-1,0,-1]_[1,-1,0,1]",0,1,3,0.2
"[-1,-1,0,-1]_[1,-1,0,1]",0,2,3,0.2
"[-1,-1,0,-1]_[1,-1,0,1]",1,2,9,0.6
"[-1,-1,0,-1]_[1,-1,1,0]",0,1,9,0.473684210526316
"[-1,-1,0,-1]_[1,-1,1,0]",0,2,2,0.105263157894737
"[-1,-1,0,-1]_[1,-1,1,0]",1,2,8,0.421052631578947
"[-1,-1,0,-1]_[1,0,-1,-1]",0,1,1,0.166666666666667
"[-1,-1,0,-1]_[1,0,-1,-1]",0,2,4,0.666666666666667
"[-1,-1,0,-1]_[1,0,-1,-1]",1,2,1,0.166666666666667
"[-1,-1,0,-1]_[1,0,-1,0]",0,1,5,0.833333333333333
"[-1,-1,0,-1]_[1,0,-1,0]",0,2,0,0
"[-1,-1,0,-1]_[1,0,-1,0]",1,2,1,0.166666666666667
"[-1,-1,0,-1]_[1,0,-1,1]",0,1,3,0.6
"[-1,-1,0,-1]_[1,0,-1,1]",0,2,0,0
"[-1,-1,0,-1]_[1,0,-1,1]",1,2,2,0.4
"[-1,-1,0,-1]_[1,0,0,-1]",0,1,5,0.384615384615385
"[-1,-1,0,-1]_[1,0,0,-1]",0,2,6,0.461538461538462
"[-1,-1,0,-1]_[1,0,0,-1]",1,2,2,0.153846153846154
"[-1,-1,0,-1]_[1,0,0,1]",0,1,4,0.2
"[-1,-1,0,-1]_[1,0,0,1]",0,2,1,0.05
"[-1,-1,0,-1]_[1,0,0,1]",1,2,15,0.75
"[-1,-1,0,-1]_[1,0,1,-1]",0,1,18,0.486486486486487
"[-1,-1,0,-1]_[1,0,1,-1]",0,2,16,0.432432432432432
"[-1,-1,0,-1]_[1,0,1,-1]",1,2,3,0.0810810810810811
"[-1,-1,0,-1]_[1,0,1,0]",0,1,3,0.272727272727273
"[-1,-1,0,-1]_[1,0,1,0]",0,2,2,0.181818181818182
"[-1,-1,0,-1]_[1,0,1,0]",1,2,6,0.545454545454545
"[-1,-1,0,-1]_[1,0,1,1]",0,1,5,0.416666666666667
