"efforts_tuples","selected0","selected1","count","count_normalized","selected_motions"
"[-1,-1,-1,0]_[1,0,0,-1]",1,2,4,0.4,"1_2"
"[-1,-1,-1,0]_[1,0,0,1]",0,1,1,0.0769230769230769,"0_1"
"[-1,-1,-1,0]_[1,0,0,1]",0,2,5,0.384615384615385,"0_2"
"[-1,-1,-1,0]_[1,0,0,1]",1,2,7,0.538461538461538,"1_2"
"[-1,-1,-1,0]_[1,0,1,-1]",0,1,8,0.666666666666667,"0_1"
"[-1,-1,-1,0]_[1,0,1,-1]",0,2,0,0,"0_2"
"[-1,-1,-1,0]_[1,0,1,-1]",1,2,4,0.333333333333333,"1_2"
"[-1,-1,-1,0]_[1,0,1,0]",0,1,5,0.384615384615385,"0_1"
"[-1,-1,-1,0]_[1,0,1,0]",0,2,2,0.153846153846154,"0_2"
"[-1,-1,-1,0]_[1,0,1,0]",1,2,6,0.461538461538462,"1_2"
"[-1,-1,-1,0]_[1,0,1,1]",0,1,5,0.416666666666667,"0_1"
"[-1,-1,-1,0]_[1,0,1,1]",0,2,4,0.333333333333333,"0_2"
"[-1,-1,-1,0]_[1,0,1,1]",1,2,3,0.25,"1_2"
"[-1,-1,-1,0]_[1,1,-1,0]",0,1,6,0.6,"0_1"
"[-1,-1,-1,0]_[1,1,-1,0]",0,2,3,0.3,"0_2"
"[-1,-1,-1,0]_[1,1,-1,0]",1,2,1,0.1,"1_2"
"[-1,-1,-1,0]_[1,1,0,-1]",0,1,7,0.583333333333333,"0_1"
"[-1,-1,-1,0]_[1,1,0,-1]",0,2,2,0.166666666666667,"0_2"
"[-1,-1,-1,0]_[1,1,0,-1]",1,2,3,0.25,"1_2"
"[-1,-1,-1,0]_[1,1,0,0]",0,1,6,0.4,"0_1"
"[-1,-1,-1,0]_[1,1,0,0]",0,2,0,0,"0_2"
"[-1,-1,-1,0]_[1,1,0,0]",1,2,9,0.6,"1_2"
"[-1,-1,-1,0]_[1,1,0,1]",0,1,3,0.230769230769231,"0_1"
"[-1,-1,-1,0]_[1,1,0,1]",0,2,2,0.153846153846154,"0_2"
"[-1,-1,-1,0]_[1,1,0,1]",1,2,8,0.615384615384615,"1_2"
"[-1,-1,-1,0]_[1,1,1,0]",0,1,6,0.6,"0_1"
"[-1,-1,-1,0]_[1,1,1,0]",0,2,1,0.1,"0_2"
"[-1,-1,-1,0]_[1,1,1,0]",1,2,3,0.3,"1_2"
"[-1,-1,0,-1]_[-1,-1,0,0]",0,1,5,0.384615384615385,"0_1"
"[-1,-1,0,-1]_[-1,-1,0,0]",0,2,2,0.153846153846154,"0_2"
"[-1,-1,0,-1]_[-1,-1,0,0]",1,2,6,0.461538461538462,"1_2"
"[-1,-1,0,-1]_[-1,-1,0,1]",0,1,3,0.3,"0_1"
"[-1,-1,0,-1]_[-1,-1,0,1]",0,2,1,0.1,"0_2"
"[-1,-1,0,-1]_[-1,-1,0,1]",1,2,6,0.6,"1_2"
"[-1,-1,0,-1]_[-1,-1,1,0]",0,1,6,0.461538461538462,"0_1"
"[-1,-1,0,-1]_[-1,-1,1,0]",0,2,0,0,"0_2"
"[-1,-1,0,-1]_[-1,-1,1,0]",1,2,7,0.538461538461538,"1_2"
"[-1,-1,0,-1]_[-1,0,-1,-1]",0,1,4,0.4,"0_1"
"[-1,-1,0,-1]_[-1,0,-1,-1]",0,2,6,0.6,"0_2"
"[-1,-1,0,-1]_[-1,0,-1,-1]",1,2,0,0,"1_2"
"[-1,-1,0,-1]_[-1,0,-1,0]",0,1,2,0.166666666666667,"0_1"
"[-1,-1,0,-1]_[-1,0,-1,0]",0,2,2,0.166666666666667,"0_2"
"[-1,-1,0,-1]_[-1,0,-1,0]",1,2,8,0.666666666666667,"1_2"
"[-1,-1,0,-1]_[-1,0,-1,1]",0,1,7,0.583333333333333,"0_1"
"[-1,-1,0,-1]_[-1,0,-1,1]",0,2,2,0.166666666666667,"0_2"
"[-1,-1,0,-1]_[-1,0,-1,1]",1,2,3,0.25,"1_2"
"[-1,-1,0,-1]_[-1,0,0,-1]",0,1,4,0.363636363636364,"0_1"
"[-1,-1,0,-1]_[-1,0,0,-1]",0,2,4,0.363636363636364,"0_2"
"[-1,-1,0,-1]_[-1,0,0,-1]",1,2,3,0.272727272727273,"1_2"
"[-1,-1,0,-1]_[-1,0,0,1]",0,1,4,0.363636363636364,"0_1"
"[-1,-1,0,-1]_[-1,0,0,1]",0,2,1,0.0909090909090909,"0_2"
"[-1,-1,0,-1]_[-1,0,0,1]",1,2,6,0.545454545454545,"1_2"
"[-1,-1,0,-1]_[-1,0,1,-1]",0,1,6,0.545454545454545,"0_1"
"[-1,-1,0,-1]_[-1,0,1,-1]",0,2,5,0.454545454545455,"0_2"
"[-1,-1,0,-1]_[-1,0,1,-1]",1,2,0,0,"1_2"
"[-1,-1,0,-1]_[-1,0,1,0]",0,1,3,0.176470588235294,"0_1"
"[-1,-1,0,-1]_[-1,0,1,0]",0,2,6,0.352941176470588,"0_2"
"[-1,-1,0,-1]_[-1,0,1,0]",1,2,8,0.470588235294118,"1_2"
"[-1,-1,0,-1]_[-1,0,1,1]",0,1,5,0.454545454545455,"0_1"
"[-1,-1,0,-1]_[-1,0,1,1]",0,2,1,0.0909090909090909,"0_2"
"[-1,-1,0,-1]_[-1,0,1,1]",1,2,5,0.454545454545455,"1_2"
"[-1,-1,0,-1]_[-1,1,-1,0]",0,1,6,0.545454545454545,"0_1"
"[-1,-1,0,-1]_[-1,1,-1,0]",0,2,2,0.181818181818182,"0_2"
"[-1,-1,0,-1]_[-1,1,-1,0]",1,2,3,0.272727272727273,"1_2"
"[-1,-1,0,-1]_[-1,1,0,-1]",0,1,5,0.5,"0_1"
"[-1,-1,0,-1]_[-1,1,0,-1]",0,2,5,0.5,"0_2"
"[-1,-1,0,-1]_[-1,1,0,-1]",1,2,0,0,"1_2"
"[-1,-1,0,-1]_[-1,1,0,0]",0,1,3,0.3,"0_1"
"[-1,-1,0,-1]_[-1,1,0,0]",0,2,2,0.2,"0_2"
"[-1,-1,0,-1]_[-1,1,0,0]",1,2,5,0.5,"1_2"
"[-1,-1,0,-1]_[-1,1,0,1]",0,1,4,0.307692307692308,"0_1"
"[-1,-1,0,-1]_[-1,1,0,1]",0,2,1,0.0769230769230769,"0_2"
"[-1,-1,0,-1]_[-1,1,0,1]",1,2,8,0.615384615384615,"1_2"
"[-1,-1,0,-1]_[-1,1,1,0]",0,1,1,0.0909090909090909,"0_1"
"[-1,-1,0,-1]_[-1,1,1,0]",0,2,4,0.363636363636364,"0_2"
"[-1,-1,0,-1]_[-1,1,1,0]",1,2,6,0.545454545454545,"1_2"
"[-1,-1,0,-1]_[0,-1,-1,-1]",0,1,3,0.272727272727273,"0_1"
"[-1,-1,0,-1]_[0,-1,-1,-1]",0,2,5,0.454545454545455,"0_2"
"[-1,-1,0,-1]_[0,-1,-1,-1]",1,2,3,0.272727272727273,"1_2"
"[-1,-1,0,-1]_[0,-1,-1,0]",0,1,4,0.333333333333333,"0_1"
"[-1,-1,0,-1]_[0,-1,-1,0]",0,2,1,0.0833333333333333,"0_2"
"[-1,-1,0,-1]_[0,-1,-1,0]",1,2,7,0.583333333333333,"1_2"
"[-1,-1,0,-1]_[0,-1,-1,1]",0,1,7,0.636363636363636,"0_1"
"[-1,-1,0,-1]_[0,-1,-1,1]",0,2,0,0,"0_2"
"[-1,-1,0,-1]_[0,-1,-1,1]",1,2,4,0.363636363636364,"1_2"
"[-1,-1,0,-1]_[0,-1,0,-1]",0,1,4,0.266666666666667,"0_1"
"[-1,-1,0,-1]_[0,-1,0,-1]",0,2,8,0.533333333333333,"0_2"
"[-1,-1,0,-1]_[0,-1,0,-1]",1,2,3,0.2,"1_2"
"[-1,-1,0,-1]_[0,-1,0,1]",0,1,1,0.1,"0_1"
"[-1,-1,0,-1]_[0,-1,0,1]",0,2,1,0.1,"0_2"
"[-1,-1,0,-1]_[0,-1,0,1]",1,2,8,0.8,"1_2"
"[-1,-1,0,-1]_[0,-1,1,-1]",0,1,3,0.3,"0_1"
"[-1,-1,0,-1]_[0,-1,1,-1]",0,2,6,0.6,"0_2"
"[-1,-1,0,-1]_[0,-1,1,-1]",1,2,1,0.1,"1_2"
"[-1,-1,0,-1]_[0,-1,1,0]",0,1,4,0.363636363636364,"0_1"
"[-1,-1,0,-1]_[0,-1,1,0]",0,2,3,0.272727272727273,"0_2"
"[-1,-1,0,-1]_[0,-1,1,0]",1,2,4,0.363636363636364,"1_2"
"[-1,-1,0,-1]_[0,-1,1,1]",0,1,5,0.5,"0_1"
"[-1,-1,0,-1]_[0,-1,1,1]",0,2,0,0,"0_2"
"[-1,-1,0,-1]_[0,-1,1,1]",1,2,5,0.5,"1_2"
"[-1,-1,0,-1]_[0,0,-1,-1]",0,1,3,0.214285714285714,"0_1"
"[-1,-1,0,-1]_[0,0,-1,-1]",0,2,10,0.714285714285714,"0_2"
"[-1,-1,0,-1]_[0,0,-1,-1]",1,2,1,0.0714285714285714,"1_2"
"[-1,-1,0,-1]_[0,0,-1,1]",0,1,5,0.384615384615385,"0_1"
"[-1,-1,0,-1]_[0,0,-1,1]",0,2,0,0,"0_2"
"[-1,-1,0,-1]_[0,0,-1,1]",1,2,8,0.615384615384615,"1_2"
"[-1,-1,0,-1]_[0,0,1,-1]",0,1,3,0.230769230769231,"0_1"
"[-1,-1,0,-1]_[0,0,1,-1]",0,2,10,0.769230769230769,"0_2"
"[-1,-1,0,-1]_[0,0,1,-1]",1,2,0,0,"1_2"
"[-1,-1,0,-1]_[0,0,1,1]",0,1,4,0.285714285714286,"0_1"
"[-1,-1,0,-1]_[0,0,1,1]",0,2,2,0.142857142857143,"0_2"
"[-1,-1,0,-1]_[0,0,1,1]",1,2,8,0.571428571428571,"1_2"
"[-1,-1,0,-1]_[0,1,-1,-1]",0,1,9,0.6,"0_1"
"[-1,-1,0,-1]_[0,1,-1,-1]",0,2,6,0.4,"0_2"
"[-1,-1,0,-1]_[0,1,-1,-1]",1,2,0,0,"1_2"
