,efforts_tuples,selected0,selected1,count,count_normalized,selected_motions,alpha_0_2,alpha_2_0,alpha_0_1,alpha_2_1,alpha_1_0,alpha_1_2
1417,"[(1, -1, 0, -1), (1, 1, 0, 0)]",0,1,5,0.416666666666667,0_1,0.0,0.0,0.08333333333333404,0.0,0.16666666666666702,0.0
1418,"[(1, -1, 0, -1), (1, 1, 0, 1)]",0,1,5,0.5,0_1,0.0,0.0,0.4,0.0,0.09999999999999998,0.0
1419,"[(1, -1, 0, -1), (1, 1, 1, 0)]",0,1,7,0.7,0_1,0.0,0.0,0.6,0.0,0.49999999999999994,0.0
1420,"[(1, -1, 0, 0), (1, -1, 0, 1)]",0,2,4,0.4,0_2,0.10000000000000003,0.10000000000000003,0.0,0.0,0.0,0.0
1421,"[(1, -1, 0, 0), (1, -1, 1, 0)]",0,1,12,0.75,0_1,0.0,0.0,0.625,0.0,0.625,0.0
1422,"[(1, -1, 0, 0), (1, 0, -1, -1)]",0,1,9,0.9,0_1,0.0,0.0,0.9,0.0,0.8,0.0
1423,"[(1, -1, 0, 0), (1, 0, -1, 0)]",0,1,9,0.818181818181818,0_1,0.0,0.0,0.818181818181818,0.0,0.636363636363636,0.0
1424,"[(1, -1, 0, 0), (1, 0, -1, 1)]",0,1,9,0.9,0_1,0.0,0.0,0.8,0.0,0.9,0.0
1425,"[(1, -1, 0, 0), (1, 0, 0, -1)]",0,1,10,0.769230769230769,0_1,0.0,0.0,0.769230769230769,0.0,0.5384615384615381,0.0
1426,"[(1, -1, 0, 0), (1, 0, 0, 1)]",0,1,4,0.363636363636364,0_1,0.0,0.0,0.0,0.0,0.090909090909091,0.0
1427,"[(1, -1, 0, 0), (1, 0, 1, -1)]",0,1,8,0.727272727272727,0_1,0.0,0.0,0.545454545454545,0.0,0.636363636363636,0.0
1428,"[(1, -1, 0, 0), (1, 0, 1, 0)]",0,1,9,0.692307692307692,0_1,0.0,0.0,0.538461538461538,0.0,0.538461538461538,0.0
1429,"[(1, -1, 0, 0), (1, 0, 1, 1)]",0,1,5,0.5,0_1,0.0,0.0,0.2,0.0,0.3,0.0
1430,"[(1, -1, 0, 0), (1, 1, -1, 0)]",0,1,8,0.727272727272727,0_1,0.0,0.0,0.636363636363636,0.0,0.545454545454545,0.0
1431,"[(1, -1, 0, 0), (1, 1, 0, -1)]",0,1,8,0.666666666666667,0_1,0.0,0.0,0.666666666666667,0.0,0.333333333333334,0.0
1432,"[(1, -1, 0, 0), (1, 1, 0, 0)]",0,1,6,0.545454545454545,0_1,0.0,0.0,0.4545454545454541,0.0,0.181818181818181,0.0
1433,"[(1, -1, 0, 0), (1, 1, 0, 1)]",0,1,6,0.461538461538462,0_1,0.0,0.0,0.30769230769230804,0.0,0.07692307692307698,0.0
1434,"[(1, -1, 0, 0), (1, 1, 1, 0)]",0,1,9,0.692307692307692,0_1,0.0,0.0,0.692307692307692,0.0,0.38461538461538397,0.0
1435,"[(1, -1, 0, 1), (1, -1, 1, 0)]",0,1,6,0.5,0_1,0.0,0.0,0.33333333333333304,0.0,0.16666666666666702,0.0
1436,"[(1, -1, 0, 1), (1, 0, -1, -1)]",0,1,10,0.909090909090909,0_1,0.0,0.0,0.909090909090909,0.0,0.818181818181818,0.0
1437,"[(1, -1, 0, 1), (1, 0, -1, 0)]",0,1,7,0.538461538461538,0_1,0.0,0.0,0.384615384615384,0.0,0.23076923076923,0.0
1438,"[(1, -1, 0, 1), (1, 0, -1, 1)]",0,2,6,0.6,0_2,0.19999999999999996,0.6,0.0,0.0,0.0,0.0
1439,"[(1, -1, 0, 1), (1, 0, 0, -1)]",0,1,7,0.7,0_1,0.0,0.0,0.6,0.0,0.49999999999999994,0.0
